EmployeeID,Date,Time In,Time Out,Hours Worked,Status
EMP006,08.02.2026,,,-,Leave 
 EMP008,01 02 2026,09.45,17:00 PM,9, Present
EMP009,07/02/2026,-,17.30,, Present
EMP018,14/02/2026,,19:30,9,P
EMP023,01-02-2026,09:05 AM,18:00,7.5 hrs,P
EMP023,12-02-2026,09:05 AM,18:00 PM,7.5,PRESENT
EMP020,20/02/2026,09:15,,7.5,PRESENT
EMP006,10-02-2026,,18:30,7.5 hrs,P
emp002,14.02.2026,10:00 AM,19:15,7.5 hrs,present
EMP024,11.02.2026,09:45,17:15,8, Present
EMP007,04 02 2026,10:30,,8, Present
EMP023,05/02/2026,09:15,,9 hrs,Present
EMP016,04-02-2026,,,,Absent
emp015,19/02/2026,,16:15,8,present
EMP021 ,18.02.2026,09.45,18:00 PM,9,P
EMP017,12.02.2026,08:15,17:15,8,P
EMP026 ,12.02.2026,08:45,17:15 PM,7.5,P
EMP025,11/02/2026,,,-,Leave 
EMP012,07.02.2026,,17:15 PM,7.5,Present
EMP007,13/02/2026,09:00,13:00 PM,4 hrs,HD
EMP021,17-02-2026,,,-,OL
EMP040,16/02/2026,10:45,18:30,9,Present
EMP030,11.02.2026,,,,Absent
emp023,11 02 2026,,,-,Absent
emp014,03-02-2026,08:55,16:00,8, Present
emp016,06-02-2026,09:55,18:30,9 hrs,present
EMP013,11/02/2026,09:00 AM,18:30,7.5,P
emp021,03-02-2026,,,NA,leave
EMP008,05/02/2026,09.05,18:30,8,PRESENT
EMP040,01.02.2026,09:45,18:30,8,P
 EMP034,13 02 2026,09:05,18:00 PM,8 hrs,P
emp039,05 02 2026,08:30 AM,17:15,8,PRESENT
EMP019,11.02.2026,09:05,17:15 PM,9 hrs,PRESENT
EMP008,12/02/2026,08:15,17:15,9 hrs, Present
EMP037,16/02/2026,09:00 AM,,9 hrs,Present
EMP003,13/02/2026,08:05,16:00,8 hrs,PRESENT
EMP026,17 02 2026,08:00,17:00,8,present
EMP001,14 02 2026,09.55,17:30 PM,8, Present
EMP013,12.02.2026,09:15,,8,P
